K2;nazev;mnozstvi;cena
53086;DPS FEI 1043786 (GOLD, PANEL 1x1 ks) Isola IS400;1;2095
6232;ODPOR SMD 1206 0R (V PASU) 0,25W RoHS;1;0,0268
25230;ODPOR SMD 1206 47K/F (V PASU) RoHS;1;0,0324
9167;ODPOR SMD 1206 3K3/F (V PASU) RoHS;1;0,031
25842;ODPOR SMD 1206 100R/F 0,25W (V PASU) RoHS;1;0,0329
45223;ODPOR SMD 1206 120R/F (V PASU) RoHS;3;0,0321
3134;BC817-25 (SMD SOT-23) 45V/0,5A RoHS;1;0,6069
42127;SROUB M2,5X6 ISO 14583 A4 (BN20038);14;0,4
41158;MATICE M2,5 DIN 934-A4 (BN 629);10;0,362
41286;DISTANCNI SLOUPEK 537RE43T, Quick Lock Bolt M3-3,8;14;10,358
41917;PODLOZKA 3 DIN 128A-A4 (BN 8856);16;0,47
42297;SROUB M3X40 ISO 14583-A4 (BN 20038);1;2,22
53100;BASE PLATE CONN BINDER 1049454 A;1;33
53087;DISTANCNI SLOUPEK M4x10 MM (BN 3318) ocel;1;6,14
47823;MATICE M4 DIN 934-A4 (BN 629);1;0,34
51349;DISTANCNI SLOUPEK 537RE4T, Post Q-lock FP0 4-40 UNC;2;45,6435
51040;FCT FMP010S105, dutinka pro canon  RoHS;2;36,305
51039;FCT FM27W2S1-0982 D-Sub-Mixed-Layout konektor;1;242,21
41134;ZASUVKA 96 DIN41612  86093968114755V1LF (FCI);5;26,1569
39143;CANON 9 VIDLICE DO DPS AMP 2-338309-2 RoHS;1;129,72
41132;CANON 9 ZASUVKA DO DPS AMP 2-338313-2 RoHS;2;113,06
50093;CANON 25 ZASUVKA DO DPS AMP 2-338315-2 RoHS;3;129,56
51029;HARTING 09 66 511 6501 DSUB 50P zásuvka;1;137,97
53088;KONEKTOR M12, zásuvka 4 pin, BINDER obj.è. 99-3482-458-08;2;260
39144;AMP LISTA 1X2 826629-2 RoHS;1;2,2381
51026;AMP ZASUVKA BNC 5226993-1  (do DPS, pøímá) RoHS;2;127,89
47793;AMP ZASUVKA RJ45 8-8 100616-2 RoHS;1;34,6079
50475;MOLEX VIDLICE 46015-1003 RoHS;1;27,8274
53089;AMP VIDLICE 4 POL 350792-1 RoHS;1;15,3574
40270;STITEK AVERY 25,4x10mm odolný vlivùm poèasí A4/189 (L6008-20) kovo;1;0,1847
22722;SACEK ANTISTATICKY 250x350 (obj.è. 7804.256) permanentní disipativ;1;5,0528
10639;STITEK AVERY 35,6X16,9mm, ODNÍMATELNÝ A4/80 (L4732REV-25) bílý;1;4,78
